Class,Course,Term Name,Class Ave,Class Ave.1,course_name,instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_would_take_again
ACCT351-201601,ACCT351,W2016,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-201609,ACCT351,F2016,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-201701,ACCT351,W2017,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-201709,ACCT351,F2017,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-201901,ACCT351,W2019,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-201909,ACCT351,F2019,C+,2.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202005,ACCT351,S2020,B,3.0,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202009,ACCT351,F2020,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202105,ACCT351,S2021,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202109,ACCT351,F2021,B-,2.7,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202201,ACCT351,W2022,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202209,ACCT351,F2022,B-,2.7,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202301,ACCT351,W2023,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202309,ACCT351,F2023,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT351-202401,ACCT351,W2024,B+,3.3,Intermediate Financial Accounting 1,Melissa Marginson,4.8,3.5,42.0,95.0
ACCT352-201609,ACCT352,F2016,B,3.0,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-201709,ACCT352,F2017,B,3.0,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-201801,ACCT352,W2018,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202109,ACCT352,F2021,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202201,ACCT352,W2022,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202209,ACCT352,F2022,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202301,ACCT352,W2023,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202309,ACCT352,F2023,B+,3.3,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT352-202409,ACCT352,F2024,B,3.0,Intermediate Financial Accounting 2,Amanda Abrams,4.8,3.8,34.0,94.0
ACCT354-201609,ACCT354,F2016,B,3.0,Financial Statement Analysis,Ralph Cecere,2.8,3.9,149.0,26.0
ACCT354-201701,ACCT354,W2017,B,3.0,Financial Statement Analysis,Ralph Cecere,2.8,3.9,149.0,26.0
ACCT354-201709,ACCT354,F2017,B+,3.3,Financial Statement Analysis,Ralph Cecere,2.8,3.9,149.0,26.0
ACCT354-201801,ACCT354,W2018,B,3.0,Financial Statement Analysis,Ralph Cecere,2.8,3.9,149.0,26.0
ACCT354-201901,ACCT354,W2019,B,3.0,Financial Statement Analysis,Ralph Cecere,2.8,3.9,149.0,26.0
